sex,smoker,day,time,size, total_bill ,tip,sex_numeric,smoker_numeric,day_fri,day_sat,day_sun,time_numeric,predict,squared error,,Correlation,,,,,,,,,,SUMMARY OUTPUT,,,,,,,,
Female,No,Sun,Dinner,2, $16.99 ,1.01,0,0,0,0,1,1,3.109724536,4.41,,size,total_bill,tip,sex_numeric,smoker_numeric,day_fri,day_sat,day_sun,time_numeric,,,,,,,,,,
Male,No,Sun,Dinner,2, $15.04 ,1.96,1,0,0,0,1,1,3.286489853,1.76,size,1,,,,,,,,,,Regression Statistics,,,,,,,,
Male,No,Sun,Dinner,2, $14.78 ,3.23,1,0,0,0,1,1,3.286489853,0.00,total_bill,0.600297668,1,,,,,,,,,Multiple R,0.165493777,,,,,,,
Male,No,Sun,Dinner,2, $10.27 ,1.71,1,0,0,0,1,1,3.286489853,2.49,tip,0.488799632,0.672515871,1,,,,,,,,R Square,0.02738819,,,,,,,
Female,No,Sun,Dinner,4, $35.26 ,5.00,0,0,0,0,1,1,3.109724536,3.57,sex_numeric,0.085456765,0.148169992,0.088609778,1,,,,,,,Adjusted R Square,0.001904911,,,,,,,
Male,No,Sun,Dinner,2, $15.42 ,1.57,1,0,0,0,1,1,3.286489853,2.95,smoker_numeric,-0.119708415,0.092460625,0.012093717,0.02055236,1,,,,,,Standard Error,1.39434793,,,,,,,
Male,No,Sun,Dinner,4, $18.43 ,3.00,1,0,0,0,1,1,3.286489853,0.08,day_fri,-0.140341044,-0.087811561,-0.056061582,-0.06997021,0.242468976,1,,,,,Observations,236,,,,,,,
Female,No,Sun,Dinner,2, $14.83 ,3.02,0,0,0,0,1,1,3.109724536,0.01,day_sat,-0.030489741,0.054282026,-0.003016668,0.061013233,0.145596337,-0.226106697,1,,,,,,,,,,,,
Male,No,Sun,Dinner,2, $21.58 ,3.92,1,0,0,0,1,1,3.286489853,0.40,day_sun,0.173846986,0.124966398,0.124256063,0.152368328,-0.150864816,-0.190201196,-0.491171096,1,,,ANOVA,,,,,,,,
Female,No,Sun,Dinner,3, $10.33 ,1.67,0,0,0,0,1,1,3.109724536,2.07,time_numeric,0.091067679,0.181269077,0.117385201,0.193192738,0.079361588,-0.055469186,0.481127899,0.404725305,1,,,df,SS,MS,F,Significance F,,,
Male,No,Sun,Dinner,3, $16.29 ,3.71,1,0,0,0,1,1,3.286489853,0.18,,,,,,,,,,,,Regression,6,12.53722997,2.089538328,1.074751423,0.37837853,,,
Female,No,Sun,Dinner,3, $16.97 ,3.50,0,0,0,0,1,1,3.109724536,0.15,,,,,,,,,,,,Residual,229,445.2232086,1.944206151,,,,,
Male,No,Sat,Dinner,3, $20.65 ,3.35,1,0,0,1,0,1,3.006361952,0.12,,,,,,,,,,,,Total,235,457.7604386,,,,,,
Male,No,Sat,Dinner,2, $17.92 ,4.08,1,0,0,1,0,1,3.006361952,1.15,,,,,,,,,,,,,,,,,,,,
Female,No,Sat,Dinner,2, $20.29 ,2.75,0,0,0,1,0,1,2.829596635,0.01,,,,,,,,,,,,,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%,Lower 95%,Upper 95%
Female,No,Sat,Dinner,2, $15.77 ,2.23,0,0,0,1,0,1,2.829596635,0.36,,,,,,,,,,,,Intercept,2.665233762,0.20846525,12.7850266,1.32E-28,2.25447858,3.075988943,2.25447858,3.075988943
Male,No,Sat,Dinner,4, $39.42 ,7.58,1,0,0,1,0,1,3.006361952,20.92,,,,,,,,,,,,sex_numeric,0.176765317,0.193858477,0.911826607,0.362818878,-0.205209012,0.558739646,-0.205209012,0.558739646
Male,No,Sat,Dinner,2, $19.82 ,3.18,1,0,0,1,0,1,3.006361952,0.03,,,,,,,,,,,,smoker_numeric,0.090379502,0.196578247,0.459763495,0.646122143,-0.2969538,0.477712804,-0.2969538,0.477712804
Male,No,Sat,Dinner,4, $17.81 ,2.34,1,0,0,1,0,1,3.006361952,0.44,,,,,,,,,,,,day_fri,-0.411752365,0.533621718,-0.771618454,0.441135953,-1.463188448,0.639683718,-1.463188448,0.639683718
Male,No,Sat,Dinner,2, $13.37 ,2.00,1,0,0,1,0,1,3.006361952,1.01,,,,,,,,,,,,day_sat,-0.337346107,0.638629033,-0.528234843,0.597847845,-1.595686213,0.920993999,-1.595686213,0.920993999
Male,No,Sat,Dinner,2, $12.69 ,2.00,1,0,0,1,0,1,3.006361952,1.01,,,,,,,,,,,,day_sun,-0.057218206,0.640917192,-0.089275505,0.928940959,-1.320066849,1.205630437,-1.320066849,1.205630437
Male,No,Sat,Dinner,2, $21.70 ,4.30,1,0,0,1,0,1,3.006361952,1.67,,,,,,,,,,,,time_numeric,0.50170898,0.600418672,0.835598563,0.404251761,-0.681342301,1.68476026,-0.681342301,1.68476026
Female,No,Sat,Dinner,2, $19.65 ,3.00,0,0,0,1,0,1,2.829596635,0.03,,,,,,,,,,,,,,,,,,,,
Male,No,Sat,Dinner,2, $9.55 ,1.45,1,0,0,1,0,1,3.006361952,2.42,,,,,,,,,,,,,,,,,,,,
Male,No,Sat,Dinner,4, $18.35 ,2.50,1,0,0,1,0,1,3.006361952,0.26,,,,,,,,,,,,,,,,,,,,
Female,No,Sat,Dinner,2, $15.06 ,3.00,0,0,0,1,0,1,2.829596635,0.03,,,,,,,,,,,,RESIDUAL OUTPUT,,,,,PROBABILITY OUTPUT,,,
Female,No,Sat,Dinner,4, $20.69 ,2.45,0,0,0,1,0,1,2.829596635,0.14,,,,,,,,,,,,,,,,,,,,
Male,No,Sat,Dinner,2, $17.78 ,3.27,1,0,0,1,0,1,3.006361952,0.07,,,,,,,,,,,,Observation,Predicted tip,Residuals,Standard Residuals,Column1,Percentile,tip,,
Male,No,Sat,Dinner,3, $24.06 ,3.60,1,0,0,1,0,1,3.006361952,0.35,,,,,,,,,,,,1,3.109724536,-2.099724536,-1.525482945,,0.211864407,1,,
Male,No,Sat,Dinner,3, $16.31 ,2.00,1,0,0,1,0,1,3.006361952,1.01,,,,,,,,,,,,2,3.286489853,-1.326489853,-0.96371577,,0.63559322,1,,
Female,No,Sat,Dinner,3, $16.93 ,3.07,0,0,0,1,0,1,2.829596635,0.06,,,,,,,,,,,,3,3.286489853,-0.056489853,-0.041040768,,1.059322034,1,,
Male,No,Sat,Dinner,3, $18.69 ,2.31,1,0,0,1,0,1,3.006361952,0.48,,,,,,,,,,,,4,3.286489853,-1.576489853,-1.145344707,,1.483050847,1,,
Male,No,Sat,Dinner,3, $31.27 ,5.00,1,0,0,1,0,1,3.006361952,3.97,,,,,,,,,,,,5,3.109724536,1.890275464,1.373314896,,1.906779661,1.01,,
Male,No,Sat,Dinner,3, $16.04 ,2.24,1,0,0,1,0,1,3.006361952,0.59,,,,,,,,,,,,6,3.286489853,-1.716489853,-1.247056912,,2.330508475,1.1,,
Male,No,Sun,Dinner,2, $17.46 ,2.54,1,0,0,0,1,1,3.286489853,0.56,,,,,,,,,,,,7,3.286489853,-0.286489853,-0.20813939,,2.754237288,1.17,,
Male,No,Sun,Dinner,2, $13.94 ,3.06,1,0,0,0,1,1,3.286489853,0.05,,,,,,,,,,,,8,3.109724536,-0.089724536,-0.065186288,,3.177966102,1.25,,
Male,No,Sun,Dinner,2, $9.68 ,1.32,1,0,0,0,1,1,3.286489853,3.87,,,,,,,,,,,,9,3.286489853,0.633510147,0.460255099,,3.601694915,1.25,,
Male,No,Sun,Dinner,4, $30.40 ,5.60,1,0,0,0,1,1,3.286489853,5.35,,,,,,,,,,,,10,3.109724536,-1.439724536,-1.04598255,,4.025423729,1.25,,
Male,No,Sun,Dinner,2, $18.29 ,3.00,1,0,0,0,1,1,3.286489853,0.08,,,,,,,,,,,,11,3.286489853,0.423510147,0.307686792,,4.449152542,1.32,,
Male,No,Sun,Dinner,2, $22.23 ,5.00,1,0,0,0,1,1,3.286489853,2.94,,,,,,,,,,,,12,3.109724536,0.390275464,0.283541272,,4.872881356,1.36,,
Male,No,Sun,Dinner,4, $32.40 ,6.00,1,0,0,0,1,1,3.286489853,7.36,,,,,,,,,,,,13,3.006361952,0.343638048,0.249658454,,5.296610169,1.44,,
Male,No,Sun,Dinner,3, $28.55 ,2.05,1,0,0,0,1,1,3.286489853,1.53,,,,,,,,,,,,14,3.006361952,1.073638048,0.780014952,,5.720338983,1.44,,
Male,No,Sun,Dinner,2, $18.04 ,3.00,1,0,0,0,1,1,3.286489853,0.08,,,,,,,,,,,,15,2.829596634,-0.079596634,-0.057828209,,6.144067797,1.45,,
Male,No,Sun,Dinner,2, $12.54 ,2.50,1,0,0,0,1,1,3.286489853,0.62,,,,,,,,,,,,16,2.829596634,-0.599596634,-0.435616398,,6.56779661,1.47,,
Female,No,Sun,Dinner,2, $10.29 ,2.60,0,0,0,0,1,1,3.109724536,0.26,,,,,,,,,,,,17,3.006361952,4.573638048,3.322820076,,6.991525424,1.48,,
Female,No,Sun,Dinner,4, $34.81 ,5.20,0,0,0,0,1,1,3.109724536,4.37,,,,,,,,,,,,18,3.006361952,0.173638048,0.126150777,,7.415254237,1.5,,
Male,No,Sun,Dinner,2, $9.94 ,1.56,1,0,0,0,1,1,3.286489853,2.98,,,,,,,,,,,,19,3.006361952,-0.666361952,-0.484122453,,7.838983051,1.5,,
Male,No,Sun,Dinner,4, $25.56 ,4.34,1,0,0,0,1,1,3.286489853,1.11,,,,,,,,,,,,20,3.006361952,-1.006361952,-0.731137808,,8.262711864,1.5,,
Male,No,Sun,Dinner,2, $19.49 ,3.51,1,0,0,0,1,1,3.286489853,0.05,,,,,,,,,,,,21,3.006361952,-1.006361952,-0.731137808,,8.686440678,1.5,,
Male,Yes,Sat,Dinner,4, $38.01 ,3.00,1,1,0,1,0,1,3.096741454,0.01,,,,,,,,,,,,22,3.006361952,1.293638048,0.939848416,,9.110169492,1.5,,
Female,No,Sat,Dinner,2, $26.41 ,1.50,0,0,0,1,0,1,2.829596635,1.77,,,,,,,,,,,,23,2.829596634,0.170403366,0.123800729,,9.533898305,1.5,,
Male,Yes,Sat,Dinner,2, $11.24 ,1.76,1,1,0,1,0,1,3.096741454,1.79,,,,,,,,,,,,24,3.006361952,-1.556361952,-1.13072147,,9.957627119,1.5,,
Male,No,Sat,Dinner,4, $48.27 ,6.73,1,0,0,1,0,1,3.006361952,13.87,,,,,,,,,,,,25,3.006361952,-0.506361952,-0.367879933,,10.38135593,1.5,,
Male,Yes,Sat,Dinner,2, $20.29 ,3.21,1,1,0,1,0,1,3.096741454,0.01,,,,,,,,,,,,26,2.829596634,0.170403366,0.123800729,,10.80508475,1.5,,
Male,Yes,Sat,Dinner,2, $13.81 ,2.00,1,1,0,1,0,1,3.096741454,1.20,,,,,,,,,,,,27,2.829596634,-0.379596634,-0.275782933,,11.22881356,1.56,,
Male,Yes,Sat,Dinner,2, $11.02 ,1.98,1,1,0,1,0,1,3.096741454,1.25,,,,,,,,,,,,28,3.006361952,0.263638048,0.191537194,,11.65254237,1.57,,
Male,Yes,Sat,Dinner,4, $18.29 ,3.76,1,1,0,1,0,1,3.096741454,0.44,,,,,,,,,,,,29,3.006361952,0.593638048,0.431287392,,12.07627119,1.58,,
Male,No,Sat,Dinner,3, $17.59 ,2.64,1,0,0,1,0,1,3.006361952,0.13,,,,,,,,,,,,30,3.006361952,-1.006361952,-0.731137808,,12.5,1.61,,
Male,No,Sat,Dinner,3, $20.08 ,3.15,1,0,0,1,0,1,3.006361952,0.02,,,,,,,,,,,,31,2.829596634,0.240403366,0.174656831,,12.92372881,1.63,,
Female,No,Sat,Dinner,2, $16.45 ,2.47,0,0,0,1,0,1,2.829596635,0.13,,,,,,,,,,,,32,3.006361952,-0.696361952,-0.505917925,,13.34745763,1.64,,
Female,Yes,Sat,Dinner,1, $3.07 ,1.00,0,1,0,1,0,1,2.919976137,3.69,,,,,,,,,,,,33,3.006361952,1.993638048,1.448409441,,13.77118644,1.67,,
Male,No,Sat,Dinner,2, $20.23 ,2.01,1,0,0,1,0,1,3.006361952,0.99,,,,,,,,,,,,34,3.006361952,-0.766361952,-0.556774028,,14.19491525,1.68,,
Male,Yes,Sat,Dinner,2, $15.01 ,2.09,1,1,0,1,0,1,3.096741454,1.01,,,,,,,,,,,,35,3.286489853,-0.746489853,-0.542336635,,14.61864407,1.71,,
Male,No,Sat,Dinner,2, $12.02 ,1.97,1,0,0,1,0,1,3.006361952,1.07,,,,,,,,,,,,36,3.286489853,-0.226489853,-0.164548445,,15.04237288,1.73,,
Female,No,Sat,Dinner,3, $17.07 ,3.00,0,0,0,1,0,1,2.829596635,0.03,,,,,,,,,,,,37,3.286489853,-1.966489853,-1.42868585,,15.46610169,1.75,,
Female,Yes,Sat,Dinner,2, $26.86 ,3.14,0,1,0,1,0,1,2.919976137,0.05,,,,,,,,,,,,38,3.286489853,2.313510147,1.680801559,,15.88983051,1.76,,
Female,Yes,Sat,Dinner,2, $25.28 ,5.00,0,1,0,1,0,1,2.919976137,4.33,,,,,,,,,,,,39,3.286489853,-0.286489853,-0.20813939,,16.31355932,1.8,,
Female,No,Sat,Dinner,2, $14.73 ,2.20,0,0,0,1,0,1,2.829596635,0.40,,,,,,,,,,,,40,3.286489853,1.713510147,1.244892109,,16.73728814,1.83,,
Male,No,Sat,Dinner,2, $10.51 ,1.25,1,0,0,1,0,1,3.006361952,3.08,,,,,,,,,,,,41,3.286489853,2.713510147,1.971407859,,17.16101695,1.92,,
Male,Yes,Sat,Dinner,2, $17.92 ,3.08,1,1,0,1,0,1,3.096741454,0.00,,,,,,,,,,,,42,3.286489853,-1.236489853,-0.898329353,,17.58474576,1.96,,
Male,No,Thur,Lunch,4, $27.20 ,4.00,1,0,0,0,0,0,2.841999079,1.34,,,,,,,,,,,,43,3.286489853,-0.286489853,-0.20813939,,18.00847458,1.97,,
Male,No,Thur,Lunch,2, $22.76 ,3.00,1,0,0,0,0,0,2.841999079,0.02,,,,,,,,,,,,44,3.286489853,-0.786489853,-0.571397265,,18.43220339,1.98,,
Male,No,Thur,Lunch,2, $17.29 ,2.71,1,0,0,0,0,0,2.841999079,0.02,,,,,,,,,,,,45,3.109724536,-0.509724536,-0.370322903,,18.8559322,2,,
Male,Yes,Thur,Lunch,2, $19.44 ,3.00,1,1,0,0,0,0,2.932378581,0.00,,,,,,,,,,,,46,3.109724536,2.090275464,1.518618046,,19.27966102,2,,
Male,No,Thur,Lunch,2, $16.66 ,3.40,1,0,0,0,0,0,2.841999079,0.31,,,,,,,,,,,,47,3.286489853,-1.726489853,-1.25432207,,19.70338983,2,,
Female,No,Thur,Lunch,1, $10.07 ,1.83,0,0,0,0,0,0,2.665233762,0.70,,,,,,,,,,,,48,3.286489853,1.053510147,0.765391714,,20.12711864,2,,
Male,Yes,Thur,Lunch,2, $32.68 ,5.00,1,1,0,0,0,0,2.932378581,4.28,,,,,,,,,,,,49,3.286489853,0.223510147,0.162383642,,20.55084746,2,,
Male,No,Thur,Lunch,2, $15.98 ,2.03,1,0,0,0,0,0,2.841999079,0.66,,,,,,,,,,,,50,3.096741454,-0.096741454,-0.07028419,,20.97457627,2,,
Female,No,Thur,Lunch,4, $34.83 ,5.17,0,0,0,0,0,0,2.665233762,6.27,,,,,,,,,,,,51,2.829596634,-1.329596634,-0.965972896,,21.39830508,2,,
Male,No,Thur,Lunch,2, $13.03 ,2.00,1,0,0,0,0,0,2.841999079,0.71,,,,,,,,,,,,52,3.096741454,-1.336741454,-0.971163719,,21.8220339,2,,
Male,No,Thur,Lunch,2, $18.28 ,4.00,1,0,0,0,0,0,2.841999079,1.34,,,,,,,,,,,,53,3.006361952,3.723638048,2.705281688,,22.24576271,2,,
Male,No,Thur,Lunch,2, $24.71 ,5.85,1,0,0,0,0,0,2.841999079,9.05,,,,,,,,,,,,54,3.096741454,0.113258546,0.082284118,,22.66949153,2,,
Male,No,Thur,Lunch,2, $21.16 ,3.00,1,0,0,0,0,0,2.841999079,0.02,,,,,,,,,,,,55,3.096741454,-1.096741454,-0.796799939,,23.09322034,2,,
Male,Yes,Fri,Dinner,2, $28.97 ,3.00,1,1,1,0,0,1,3.022335196,0.00,,,,,,,,,,,,56,3.096741454,-1.116741454,-0.811330254,,23.51694915,2,,
Male,No,Fri,Dinner,2, $22.49 ,3.50,1,0,1,0,0,1,2.931955694,0.32,,,,,,,,,,,,57,3.096741454,0.663258546,0.48186778,,23.94067797,2,,
Female,Yes,Fri,Dinner,2, $5.75 ,1.00,0,1,1,0,0,1,2.845569879,3.41,,,,,,,,,,,,58,3.006361952,-0.366361952,-0.266167728,,24.36440678,2,,
Female,Yes,Fri,Dinner,2, $16.32 ,4.30,0,1,1,0,0,1,2.845569879,2.12,,,,,,,,,,,,59,3.006361952,0.143638048,0.104355304,,24.78813559,2,,
Female,No,Fri,Dinner,2, $22.75 ,3.25,0,0,1,0,0,1,2.755190377,0.24,,,,,,,,,,,,60,2.829596634,-0.359596634,-0.261252618,,25.21186441,2,,
Male,Yes,Fri,Dinner,4, $40.17 ,4.73,1,1,1,0,0,1,3.022335196,2.92,,,,,,,,,,,,61,2.919976136,-1.919976136,-1.394892902,,25.63559322,2,,
Male,Yes,Fri,Dinner,2, $27.28 ,4.00,1,1,1,0,0,1,3.022335196,0.96,,,,,,,,,,,,62,3.006361952,-0.996361952,-0.72387265,,26.05932203,2,,
Male,Yes,Fri,Dinner,2, $12.03 ,1.50,1,1,1,0,0,1,3.022335196,2.32,,,,,,,,,,,,63,3.096741454,-1.006741454,-0.731413522,,26.48305085,2,,
Male,Yes,Fri,Dinner,2, $21.01 ,3.00,1,1,1,0,0,1,3.022335196,0.00,,,,,,,,,,,,64,3.006361952,-1.036361952,-0.75293328,,26.90677966,2,,
Male,No,Fri,Dinner,2, $12.46 ,1.50,1,0,1,0,0,1,2.931955694,2.05,,,,,,,,,,,,65,2.829596634,0.170403366,0.123800729,,27.33050847,2,,
Female,Yes,Fri,Dinner,2, $11.35 ,2.50,0,1,1,0,0,1,2.845569879,0.12,,,,,,,,,,,,66,2.919976136,0.220023864,0.159850802,,27.75423729,2,,
Female,Yes,Fri,Dinner,2, $15.38 ,3.00,0,1,1,0,0,1,2.845569879,0.02,,,,,,,,,,,,67,2.919976136,2.080023864,1.511170097,,28.1779661,2,,
Female,Yes,Sat,Dinner,3, $44.30 ,2.50,0,1,0,1,0,1,2.919976137,0.18,,,,,,,,,,,,68,2.829596634,-0.629596634,-0.457411871,,28.60169492,2,,
Female,Yes,Sat,Dinner,2, $22.42 ,3.48,0,1,0,1,0,1,2.919976137,0.31,,,,,,,,,,,,69,3.006361952,-1.756361952,-1.27602462,,29.02542373,2,,
Female,No,Sat,Dinner,2, $20.92 ,4.08,0,0,0,1,0,1,2.829596635,1.56,,,,,,,,,,,,70,3.096741454,-0.016741454,-0.01216293,,29.44915254,2,,
Male,Yes,Sat,Dinner,2, $15.36 ,1.64,1,1,0,1,0,1,3.096741454,2.12,,,,,,,,,,,,71,2.841999079,1.158000921,0.841305907,,29.87288136,2,,
Male,Yes,Sat,Dinner,2, $20.49 ,4.06,1,1,0,1,0,1,3.096741454,0.93,,,,,,,,,,,,72,2.841999079,0.158000921,0.114790157,,30.29661017,2,,
Male,Yes,Sat,Dinner,2, $25.21 ,4.29,1,1,0,1,0,1,3.096741454,1.42,,,,,,,,,,,,73,2.841999079,-0.131999079,-0.09589941,,30.72033898,2,,
Male,No,Sat,Dinner,2, $18.24 ,3.76,1,0,0,1,0,1,3.006361952,0.57,,,,,,,,,,,,74,2.932378581,0.067621419,0.049128026,,31.1440678,2,,
Female,Yes,Sat,Dinner,2, $14.31 ,4.00,0,1,0,1,0,1,2.919976137,1.17,,,,,,,,,,,,75,2.841999079,0.558000921,0.405396457,,31.56779661,2,,
Male,No,Sat,Dinner,2, $14.00 ,3.00,1,0,0,1,0,1,3.006361952,0.00,,,,,,,,,,,,76,2.665233762,-0.835233762,-0.606810483,,31.99152542,2.01,,
Female,No,Sat,Dinner,1, $7.25 ,1.00,0,0,0,1,0,1,2.829596635,3.35,,,,,,,,,,,,77,2.932378581,2.067621419,1.502159525,,32.41525424,2.01,,
Male,No,Sun,Dinner,3, $38.07 ,4.00,1,0,0,0,1,1,3.286489853,0.51,,,,,,,,,,,,78,2.841999079,-0.811999079,-0.58993012,,32.83898305,2.02,,
Male,No,Sun,Dinner,2, $23.95 ,2.55,1,0,0,0,1,1,3.286489853,0.54,,,,,,,,,,,,79,2.665233762,2.504766238,1.819752121,,33.26271186,2.03,,
Female,No,Sun,Dinner,3, $25.71 ,4.00,0,0,0,0,1,1,3.109724536,0.79,,,,,,,,,,,,80,2.841999079,-0.841999079,-0.611725592,,33.68644068,2.03,,
Female,No,Sun,Dinner,2, $17.31 ,3.50,0,0,0,0,1,1,3.109724536,0.15,,,,,,,,,,,,81,2.841999079,1.158000921,0.841305907,,34.11016949,2.05,,
Male,No,Sun,Dinner,4, $29.93 ,5.07,1,0,0,0,1,1,3.286489853,3.18,,,,,,,,,,,,82,2.841999079,3.008000921,2.185360044,,34.53389831,2.09,,
Female,No,Thur,Lunch,2, $10.65 ,1.50,0,0,0,0,0,0,2.665233762,1.36,,,,,,,,,,,,83,2.841999079,0.158000921,0.114790157,,34.95762712,2.18,,
Female,No,Thur,Lunch,2, $12.43 ,1.80,0,0,0,0,0,0,2.665233762,0.75,,,,,,,,,,,,84,3.022335196,-0.022335196,-0.016226872,,35.38135593,2.2,,
Female,No,Thur,Lunch,4, $24.08 ,2.92,0,0,0,0,0,0,2.665233762,0.06,,,,,,,,,,,,85,2.931955694,0.568044306,0.412693135,,35.80508475,2.2,,
Male,No,Thur,Lunch,2, $11.69 ,2.31,1,0,0,0,0,0,2.841999079,0.28,,,,,,,,,,,,86,2.845569879,-1.845569879,-1.340835584,,36.22881356,2.23,,
Female,No,Thur,Lunch,2, $13.42 ,1.68,0,0,0,0,0,0,2.665233762,0.97,,,,,,,,,,,,87,2.845569879,1.454430121,1.05666639,,36.65254237,2.23,,
Male,No,Thur,Lunch,2, $14.26 ,2.50,1,0,0,0,0,0,2.841999079,0.12,,,,,,,,,,,,88,2.755190377,0.494809623,0.359486984,,37.07627119,2.24,,
Male,No,Thur,Lunch,2, $15.95 ,2.00,1,0,0,0,0,0,2.841999079,0.71,,,,,,,,,,,,89,3.022335196,1.707664804,1.240645375,,37.5,2.24,,
Female,No,Thur,Lunch,2, $12.48 ,2.52,0,0,0,0,0,0,2.665233762,0.02,,,,,,,,,,,,90,3.022335196,0.977664804,0.710288878,,37.92372881,2.3,,
Female,No,Thur,Lunch,6, $29.80 ,4.20,0,0,0,0,0,0,2.665233762,2.36,,,,,,,,,,,,91,3.022335196,-1.522335196,-1.106000496,,38.34745763,2.31,,
Male,No,Thur,Lunch,2, $8.52 ,1.48,1,0,0,0,0,0,2.841999079,1.86,,,,,,,,,,,,92,3.022335196,-0.022335196,-0.016226872,,38.77118644,2.31,,
Female,No,Thur,Lunch,2, $14.52 ,2.00,0,0,0,0,0,0,2.665233762,0.44,,,,,,,,,,,,93,2.931955694,-1.431955694,-1.040338365,,39.19491525,2.34,,
Female,No,Thur,Lunch,2, $11.38 ,2.00,0,0,0,0,0,0,2.665233762,0.44,,,,,,,,,,,,94,2.845569879,-0.345569879,-0.251061959,,39.61864407,2.45,,
Male,No,Thur,Lunch,3, $22.82 ,2.18,1,0,0,0,0,0,2.841999079,0.44,,,,,,,,,,,,95,2.845569879,0.154430121,0.112195915,,40.04237288,2.47,,
Male,No,Thur,Lunch,2, $19.08 ,1.50,1,0,0,0,0,0,2.841999079,1.80,,,,,,,,,,,,96,2.919976136,-0.419976136,-0.305119278,,40.46610169,2.5,,
Female,No,Thur,Lunch,2, $20.27 ,2.83,0,0,0,0,0,0,2.665233762,0.03,,,,,,,,,,,,97,2.919976136,0.560023864,0.406866157,,40.88983051,2.5,,
