sex,smoker,day,time,size, total_bill ,tip,sex_numeric,smoker_numeric,day_fri,day_sat,day_sun,time_numeric,predict,squared error,,Correlation,,,,,,,,,,SUMMARY OUTPUT,,,,,,,,
Female,No,Thur,Lunch,2, $11.17 ,1.50,0,0,0,0,0,0,2.665233762,1.36,,,,,,,,,,,,98,2.829596634,1.250403366,0.908437739,,41.31355932,2.5,,
Female,No,Thur,Lunch,2, $12.26 ,2.00,0,0,0,0,0,0,2.665233762,0.44,,,,,,,,,,,,99,3.096741454,-1.456741454,-1.058345609,,41.73728814,2.5,,
Female,No,Thur,Lunch,2, $18.26 ,3.25,0,0,0,0,0,0,2.665233762,0.34,,,,,,,,,,,,100,3.096741454,0.963258546,0.699822505,,42.16101695,2.5,,
Female,No,Thur,Lunch,2, $8.51 ,1.25,0,0,0,0,0,0,2.665233762,2.00,,,,,,,,,,,,101,3.096741454,1.193258546,0.866921127,,42.58474576,2.5,,
Female,No,Thur,Lunch,2, $10.33 ,2.00,0,0,0,0,0,0,2.665233762,0.44,,,,,,,,,,,,102,3.006361952,0.753638048,0.547529912,,43.00847458,2.5,,
Female,No,Thur,Lunch,2, $14.15 ,2.00,0,0,0,0,0,0,2.665233762,0.44,,,,,,,,,,,,103,2.919976136,1.080023864,0.784654347,,43.43220339,2.5,,
Male,Yes,Thur,Lunch,2, $16.00 ,2.00,1,1,0,0,0,0,2.932378581,0.87,,,,,,,,,,,,104,3.006361952,-0.006361952,-0.004622058,,43.8559322,2.5,,
Female,No,Thur,Lunch,2, $13.16 ,2.75,0,0,0,0,0,0,2.665233762,0.01,,,,,,,,,,,,105,2.829596634,-1.829596634,-1.329230771,,44.27966102,2.5,,
Female,No,Thur,Lunch,2, $17.47 ,3.50,0,0,0,0,0,0,2.665233762,0.70,,,,,,,,,,,,106,3.286489853,0.713510147,0.518376359,,44.70338983,2.52,,
Male,No,Thur,Lunch,6, $34.30 ,6.70,1,0,0,0,0,0,2.841999079,14.88,,,,,,,,,,,,107,3.286489853,-0.736489853,-0.535071478,,45.12711864,2.54,,
Male,No,Thur,Lunch,5, $41.19 ,5.00,1,0,0,0,0,0,2.841999079,4.66,,,,,,,,,,,,108,3.109724536,0.890275464,0.646799146,,45.55084746,2.55,,
Female,No,Thur,Lunch,6, $27.05 ,5.00,0,0,0,0,0,0,2.665233762,5.45,,,,,,,,,,,,109,3.109724536,0.390275464,0.283541272,,45.97457627,2.56,,
Female,No,Thur,Lunch,2, $16.43 ,2.30,0,0,0,0,0,0,2.665233762,0.13,,,,,,,,,,,,110,3.286489853,1.783510147,1.295748212,,46.39830508,2.6,,
Female,No,Thur,Lunch,2, $8.35 ,1.50,0,0,0,0,0,0,2.665233762,1.36,,,,,,,,,,,,111,2.665233762,-1.165233762,-0.84656068,,46.8220339,2.61,,
Female,No,Thur,Lunch,3, $18.64 ,1.36,0,0,0,0,0,0,2.665233762,1.70,,,,,,,,,,,,112,2.665233762,-0.865233762,-0.628605955,,47.24576271,2.64,,
Female,No,Thur,Lunch,2, $11.87 ,1.63,0,0,0,0,0,0,2.665233762,1.07,,,,,,,,,,,,113,2.665233762,0.254766238,0.185091685,,47.66949153,2.71,,
Male,No,Thur,Lunch,2, $9.78 ,1.73,1,0,0,0,0,0,2.841999079,1.24,,,,,,,,,,,,114,2.841999079,-0.531999079,-0.38650571,,48.09322034,2.72,,
Male,No,Thur,Lunch,2, $7.51 ,2.00,1,0,0,0,0,0,2.841999079,0.71,,,,,,,,,,,,115,2.665233762,-0.985233762,-0.715787845,,48.51694915,2.74,,
Male,No,Sun,Dinner,2, $14.07 ,2.50,1,0,0,0,1,1,3.286489853,0.62,,,,,,,,,,,,116,2.841999079,-0.341999079,-0.248467717,,48.94067797,2.75,,
Male,No,Sun,Dinner,2, $13.13 ,2.00,1,0,0,0,1,1,3.286489853,1.66,,,,,,,,,,,,117,2.841999079,-0.841999079,-0.611725592,,49.36440678,2.75,,
Male,No,Sun,Dinner,3, $17.26 ,2.74,1,0,0,0,1,1,3.286489853,0.30,,,,,,,,,,,,118,2.665233762,-0.145233762,-0.105514615,,49.78813559,2.83,,
Male,No,Sun,Dinner,4, $24.55 ,2.00,1,0,0,0,1,1,3.286489853,1.66,,,,,,,,,,,,119,2.665233762,1.534766238,1.115031844,,50.21186441,2.88,,
Male,No,Sun,Dinner,4, $19.77 ,2.00,1,0,0,0,1,1,3.286489853,1.66,,,,,,,,,,,,120,2.841999079,-1.361999079,-0.989513782,,50.63559322,2.92,,
Female,No,Sun,Dinner,5, $29.85 ,5.14,0,0,0,0,1,1,3.109724536,4.12,,,,,,,,,,,,121,2.665233762,-0.665233762,-0.483302805,,51.05932203,3,,
Male,No,Sun,Dinner,6, $48.17 ,5.00,1,0,0,0,1,1,3.286489853,2.94,,,,,,,,,,,,122,2.665233762,-0.665233762,-0.483302805,,51.48305085,3,,
Female,No,Sun,Dinner,4, $25.00 ,3.75,0,0,0,0,1,1,3.109724536,0.41,,,,,,,,,,,,123,2.841999079,-0.661999079,-0.480952757,,51.90677966,3,,
Female,No,Sun,Dinner,2, $13.39 ,2.61,0,0,0,0,1,1,3.109724536,0.25,,,,,,,,,,,,124,2.841999079,-1.341999079,-0.974983467,,52.33050847,3,,
Male,No,Sun,Dinner,4, $16.49 ,2.00,1,0,0,0,1,1,3.286489853,1.66,,,,,,,,,,,,125,2.665233762,0.164766238,0.119705267,,52.75423729,3,,
Male,No,Sun,Dinner,4, $21.50 ,3.50,1,0,0,0,1,1,3.286489853,0.05,,,,,,,,,,,,126,2.665233762,-1.165233762,-0.84656068,,53.1779661,3,,
Male,No,Sun,Dinner,2, $12.66 ,2.50,1,0,0,0,1,1,3.286489853,0.62,,,,,,,,,,,,127,2.665233762,-0.665233762,-0.483302805,,53.60169492,3,,
Female,No,Sun,Dinner,3, $16.21 ,2.00,0,0,0,0,1,1,3.109724536,1.23,,,,,,,,,,,,128,2.665233762,0.584766238,0.424841882,,54.02542373,3,,
Male,No,Sun,Dinner,2, $13.81 ,2.00,1,0,0,0,1,1,3.286489853,1.66,,,,,,,,,,,,129,2.665233762,-1.415233762,-1.028189617,,54.44915254,3,,
Female,Yes,Sun,Dinner,2, $17.51 ,3.00,0,1,0,0,1,1,3.200104038,0.04,,,,,,,,,,,,130,2.665233762,-0.665233762,-0.483302805,,54.87288136,3,,
Male,No,Sun,Dinner,3, $24.52 ,3.48,1,0,0,0,1,1,3.286489853,0.04,,,,,,,,,,,,131,2.665233762,-0.665233762,-0.483302805,,55.29661017,3,,
Male,No,Sun,Dinner,2, $20.76 ,2.24,1,0,0,0,1,1,3.286489853,1.10,,,,,,,,,,,,132,2.932378581,-0.932378581,-0.677387724,,55.72033898,3,,
Male,No,Sun,Dinner,4, $31.71 ,4.50,1,0,0,0,1,1,3.286489853,1.47,,,,,,,,,,,,133,2.665233762,0.084766238,0.061584007,,56.1440678,3,,
Female,Yes,Sat,Dinner,2, $10.59 ,1.61,0,1,0,1,0,1,2.919976137,1.72,,,,,,,,,,,,134,2.665233762,0.834766238,0.606470819,,56.56779661,3,,
Female,Yes,Sat,Dinner,2, $10.63 ,2.00,0,1,0,1,0,1,2.919976137,0.85,,,,,,,,,,,,135,2.841999079,3.858000921,2.802898431,,56.99152542,3,,
Male,Yes,Sat,Dinner,3, $50.81 ,10.00,1,1,0,1,0,1,3.096741454,47.65,,,,,,,,,,,,136,2.841999079,2.158000921,1.567821657,,57.41525424,3,,
Male,Yes,Sat,Dinner,2, $15.81 ,3.16,1,1,0,1,0,1,3.096741454,0.00,,,,,,,,,,,,137,2.665233762,2.334766238,1.696244444,,57.83898305,3,,
Male,Yes,Sun,Dinner,2, $7.25 ,5.15,1,1,0,0,1,1,3.376869355,3.14,,,,,,,,,,,,138,2.665233762,-0.365233762,-0.26534808,,58.26271186,3,,
Male,Yes,Sun,Dinner,2, $31.85 ,3.18,1,1,0,0,1,1,3.376869355,0.04,,,,,,,,,,,,139,2.665233762,-1.165233762,-0.84656068,,58.68644068,3,,
Male,Yes,Sun,Dinner,2, $16.82 ,4.00,1,1,0,0,1,1,3.376869355,0.39,,,,,,,,,,,,140,2.665233762,-1.305233762,-0.948272885,,59.11016949,3,,
Male,Yes,Sun,Dinner,2, $32.90 ,3.11,1,1,0,0,1,1,3.376869355,0.07,,,,,,,,,,,,141,2.665233762,-1.035233762,-0.752113633,,59.53389831,3,,
Male,Yes,Sun,Dinner,2, $17.89 ,2.00,1,1,0,0,1,1,3.376869355,1.90,,,,,,,,,,,,142,2.841999079,-1.111999079,-0.807884845,,59.95762712,3,,
Male,Yes,Sun,Dinner,2, $14.48 ,2.00,1,1,0,0,1,1,3.376869355,1.90,,,,,,,,,,,,143,2.841999079,-0.841999079,-0.611725592,,60.38135593,3,,
Female,Yes,Sun,Dinner,2, $9.60 ,4.00,0,1,0,0,1,1,3.200104038,0.64,,,,,,,,,,,,144,3.286489853,-0.786489853,-0.571397265,,60.80508475,3.02,,
Male,Yes,Sun,Dinner,2, $34.63 ,3.55,1,1,0,0,1,1,3.376869355,0.03,,,,,,,,,,,,145,3.286489853,-1.286489853,-0.93465514,,61.22881356,3.06,,
Male,Yes,Sun,Dinner,4, $34.65 ,3.68,1,1,0,0,1,1,3.376869355,0.09,,,,,,,,,,,,146,3.286489853,-0.546489853,-0.397033485,,61.65254237,3.07,,
Male,Yes,Sun,Dinner,2, $23.33 ,5.65,1,1,0,0,1,1,3.376869355,5.17,,,,,,,,,,,,147,3.286489853,-1.286489853,-0.93465514,,62.07627119,3.08,,
Male,Yes,Sun,Dinner,3, $45.35 ,3.50,1,1,0,0,1,1,3.376869355,0.02,,,,,,,,,,,,148,3.286489853,-1.286489853,-0.93465514,,62.5,3.09,,
Male,Yes,Sun,Dinner,4, $23.17 ,6.50,1,1,0,0,1,1,3.376869355,9.75,,,,,,,,,,,,149,3.109724536,2.030275464,1.475027101,,62.92372881,3.11,,
Male,Yes,Sun,Dinner,2, $40.55 ,3.00,1,1,0,0,1,1,3.376869355,0.14,,,,,,,,,,,,150,3.286489853,1.713510147,1.244892109,,63.34745763,3.14,,
Male,No,Sun,Dinner,5, $20.69 ,5.00,1,0,0,0,1,1,3.286489853,2.94,,,,,,,,,,,,151,3.109724536,0.640275464,0.465170209,,63.77118644,3.15,,
Female,Yes,Sun,Dinner,3, $20.90 ,3.50,0,1,0,0,1,1,3.200104038,0.09,,,,,,,,,,,,152,3.109724536,-0.499724536,-0.363057746,,64.19491525,3.16,,
Male,Yes,Sun,Dinner,5, $30.46 ,2.00,1,1,0,0,1,1,3.376869355,1.90,,,,,,,,,,,,153,3.286489853,-1.286489853,-0.93465514,,64.61864407,3.18,,
Female,Yes,Sun,Dinner,3, $18.15 ,3.50,0,1,0,0,1,1,3.200104038,0.09,,,,,,,,,,,,154,3.286489853,0.213510147,0.155118485,,65.04237288,3.18,,
Male,Yes,Sun,Dinner,3, $23.10 ,4.00,1,1,0,0,1,1,3.376869355,0.39,,,,,,,,,,,,155,3.286489853,-0.786489853,-0.571397265,,65.46610169,3.21,,
Male,Yes,Sun,Dinner,2, $15.69 ,1.50,1,1,0,0,1,1,3.376869355,3.52,,,,,,,,,,,,156,3.109724536,-1.109724536,-0.806232353,,65.88983051,3.23,,
Female,Yes,Thur,Lunch,2, $19.81 ,4.19,0,1,0,0,0,0,2.755613264,2.06,,,,,,,,,,,,157,3.286489853,-1.286489853,-0.93465514,,66.31355932,3.23,,
Male,Yes,Thur,Lunch,2, $28.44 ,2.56,1,1,0,0,0,0,2.932378581,0.14,,,,,,,,,,,,158,3.200104038,-0.200104038,-0.145378735,,66.73728814,3.25,,
Male,Yes,Thur,Lunch,2, $15.48 ,2.02,1,1,0,0,0,0,2.932378581,0.83,,,,,,,,,,,,159,3.286489853,0.193510147,0.14058817,,67.16101695,3.25,,
Male,Yes,Thur,Lunch,2, $16.58 ,4.00,1,1,0,0,0,0,2.932378581,1.14,,,,,,,,,,,,160,3.286489853,-1.046489853,-0.76029136,,67.58474576,3.27,,
Male,No,Thur,Lunch,2, $7.56 ,1.44,1,0,0,0,0,0,2.841999079,1.97,,,,,,,,,,,,161,3.286489853,1.213510147,0.881634234,,68.00847458,3.35,,
Male,Yes,Thur,Lunch,2, $10.34 ,2.00,1,1,0,0,0,0,2.932378581,0.87,,,,,,,,,,,,162,2.919976136,-1.309976136,-0.951718295,,68.43220339,3.39,,
Female,Yes,Thur,Lunch,4, $43.11 ,5.00,0,1,0,0,0,0,2.755613264,5.04,,,,,,,,,,,,163,2.919976136,-0.919976136,-0.668377152,,68.8559322,3.4,,
Female,Yes,Thur,Lunch,2, $13.00 ,2.00,0,1,0,0,0,0,2.755613264,0.57,,,,,,,,,,,,164,3.096741454,6.903258546,5.015326058,,69.27966102,3.41,,
Male,Yes,Thur,Lunch,2, $13.51 ,2.00,1,1,0,0,0,0,2.932378581,0.87,,,,,,,,,,,,165,3.096741454,0.063258546,0.04595833,,69.70338983,3.48,,
Male,Yes,Thur,Lunch,3, $18.71 ,4.00,1,1,0,0,0,0,2.932378581,1.14,,,,,,,,,,,,166,3.376869355,1.773130645,1.28820734,,70.12711864,3.48,,
Female,Yes,Thur,Lunch,2, $12.74 ,2.01,0,1,0,0,0,0,2.755613264,0.56,,,,,,,,,,,,167,3.376869355,-0.196869355,-0.143028687,,70.55084746,3.48,,
Female,Yes,Thur,Lunch,2, $16.40 ,2.50,0,1,0,0,0,0,2.755613264,0.07,,,,,,,,,,,,168,3.376869355,0.623130645,0.452714228,,70.97457627,3.5,,
Male,Yes,Thur,Lunch,4, $20.53 ,4.00,1,1,0,0,0,0,2.932378581,1.14,,,,,,,,,,,,169,3.376869355,-0.266869355,-0.193884789,,71.39830508,3.5,,
Female,Yes,Thur,Lunch,3, $16.47 ,3.23,0,1,0,0,0,0,2.755613264,0.23,,,,,,,,,,,,170,3.376869355,-1.376869355,-1.000317272,,71.8220339,3.5,,
Male,Yes,Sat,Dinner,3, $26.59 ,3.41,1,1,0,1,0,1,3.096741454,0.10,,,,,,,,,,,,171,3.376869355,-1.376869355,-1.000317272,,72.24576271,3.5,,
Male,Yes,Sat,Dinner,4, $38.73 ,3.00,1,1,0,1,0,1,3.096741454,0.01,,,,,,,,,,,,172,3.200104038,0.799895962,0.581137015,,72.66949153,3.5,,
Male,Yes,Sat,Dinner,2, $24.27 ,2.03,1,1,0,1,0,1,3.096741454,1.14,,,,,,,,,,,,173,3.376869355,0.173130645,0.12578214,,73.09322034,3.5,,
Female,Yes,Sat,Dinner,2, $12.76 ,2.23,0,1,0,1,0,1,2.919976137,0.48,,,,,,,,,,,,174,3.376869355,0.303130645,0.220229188,,73.51694915,3.5,,
Male,Yes,Sat,Dinner,3, $30.06 ,2.00,1,1,0,1,0,1,3.096741454,1.20,,,,,,,,,,,,175,3.376869355,2.273130645,1.651465215,,73.94067797,3.5,,
Male,Yes,Sat,Dinner,4, $25.89 ,5.16,1,1,0,1,0,1,3.096741454,4.26,,,,,,,,,,,,176,3.376869355,0.123130645,0.089456353,,74.36440678,3.51,,
Male,No,Sat,Dinner,4, $48.33 ,9.00,1,0,0,1,0,1,3.006361952,35.92,,,,,,,,,,,,177,3.376869355,3.123130645,2.269003602,,74.78813559,3.55,,
Female,Yes,Sat,Dinner,2, $13.27 ,2.50,0,1,0,1,0,1,2.919976137,0.18,,,,,,,,,,,,178,3.376869355,-0.376869355,-0.273801522,,75.21186441,3.6,,
Female,Yes,Sat,Dinner,3, $28.17 ,6.50,0,1,0,1,0,1,2.919976137,12.82,,,,,,,,,,,,179,3.286489853,1.713510147,1.244892109,,75.63559322,3.68,,
Female,Yes,Sat,Dinner,2, $12.90 ,1.10,0,1,0,1,0,1,2.919976137,3.31,,,,,,,,,,,,180,3.200104038,0.299895962,0.21787914,,76.05932203,3.71,,
Male,Yes,Sat,Dinner,5, $28.15 ,3.00,1,1,0,1,0,1,3.096741454,0.01,,,,,,,,,,,,181,3.376869355,-1.376869355,-1.000317272,,76.48305085,3.75,,
Male,Yes,Sat,Dinner,2, $11.59 ,1.50,1,1,0,1,0,1,3.096741454,2.55,,,,,,,,,,,,182,3.200104038,0.299895962,0.21787914,,76.90677966,3.76,,
Male,Yes,Sat,Dinner,2, $7.74 ,1.44,1,1,0,1,0,1,3.096741454,2.74,,,,,,,,,,,,183,3.376869355,0.623130645,0.452714228,,77.33050847,3.76,,
Female,Yes,Sat,Dinner,4, $30.14 ,3.09,0,1,0,1,0,1,2.919976137,0.03,,,,,,,,,,,,184,3.376869355,-1.876869355,-1.363575147,,77.75423729,3.92,,
Male,Yes,Fri,Lunch,2, $12.16 ,2.20,1,1,1,0,0,0,2.520626216,0.10,,,,,,,,,,,,185,2.755613264,1.434386736,1.042104555,,78.1779661,4,,
Female,Yes,Fri,Lunch,2, $13.42 ,3.48,0,1,1,0,0,0,2.343860899,1.29,,,,,,,,,,,,186,2.932378581,-0.372378581,-0.270538904,,78.60169492,4,,
Male,Yes,Fri,Lunch,1, $8.58 ,1.92,1,1,1,0,0,0,2.520626216,0.36,,,,,,,,,,,,187,2.932378581,-0.912378581,-0.662857409,,79.02542373,4,,
Female,No,Fri,Lunch,3, $15.98 ,3.00,0,0,1,0,0,0,2.253481397,0.56,,,,,,,,,,,,188,2.932378581,1.067621419,0.775643776,,79.44915254,4,,
Male,Yes,Fri,Lunch,2, $13.42 ,1.58,1,1,1,0,0,0,2.520626216,0.88,,,,,,,,,,,,189,2.841999079,-1.401999079,-1.018574412,,79.87288136,4,,
Female,Yes,Fri,Lunch,2, $16.27 ,2.50,0,1,1,0,0,0,2.343860899,0.02,,,,,,,,,,,,190,2.932378581,-0.932378581,-0.677387724,,80.29661017,4,,
Female,Yes,Fri,Lunch,2, $10.09 ,2.00,0,1,1,0,0,0,2.343860899,0.12,,,,,,,,,,,,191,2.755613264,2.244386736,1.630582312,,80.72033898,4,,
Male,No,Sat,Dinner,4, $20.45 ,3.00,1,0,0,1,0,1,3.006361952,0.00,,,,,,,,,,,,192,2.755613264,-0.755613264,-0.548964937,,81.1440678,4,,
Male,No,Sat,Dinner,2, $13.28 ,2.72,1,0,0,1,0,1,3.006361952,0.08,,,,,,,,,,,,193,2.932378581,-0.932378581,-0.677387724,,81.56779661,4,,
Female,Yes,Sat,Dinner,2, $22.12 ,2.88,0,1,0,1,0,1,2.919976137,0.00,,,,,,,,,,,,194,2.932378581,1.067621419,0.775643776,,81.99152542,4,,
Male,Yes,Sat,Dinner,4, $24.01 ,2.00,1,1,0,1,0,1,3.096741454,1.20,,,,,,,,,,,,195,2.755613264,-0.745613264,-0.541699779,,82.41525424,4,,
Male,Yes,Sat,Dinner,3, $15.69 ,3.00,1,1,0,1,0,1,3.096741454,0.01,,,,,,,,,,,,196,2.755613264,-0.255613264,-0.185707062,,82.83898305,4,,
Male,No,Sat,Dinner,2, $11.61 ,3.39,1,0,0,1,0,1,3.006361952,0.15,,,,,,,,,,,,197,2.932378581,1.067621419,0.775643776,,83.26271186,4.06,,
Male,No,Sat,Dinner,2, $10.77 ,1.47,1,0,0,1,0,1,3.006361952,2.36,,,,,,,,,,,,198,2.755613264,0.474386736,0.344649435,,83.68644068,4.08,,
Male,Yes,Sat,Dinner,2, $15.53 ,3.00,1,1,0,1,0,1,3.096741454,0.01,,,,,,,,,,,,199,3.096741454,0.313258546,0.227587268,,84.11016949,4.08,,
Male,No,Sat,Dinner,2, $10.07 ,1.25,1,0,0,1,0,1,3.006361952,3.08,,,,,,,,,,,,200,3.096741454,-0.096741454,-0.07028419,,84.53389831,4.19,,
Male,Yes,Sat,Dinner,2, $12.60 ,1.00,1,1,0,1,0,1,3.096741454,4.40,,,,,,,,,,,,201,3.096741454,-1.066741454,-0.775004467,,84.95762712,4.2,,
Male,Yes,Sat,Dinner,2, $32.83 ,1.17,1,1,0,1,0,1,3.096741454,3.71,,,,,,,,,,,,202,2.919976136,-0.689976136,-0.50127853,,85.38135593,4.29,,
Female,No,Sat,Dinner,3, $35.83 ,4.67,0,0,0,1,0,1,2.829596635,3.39,,,,,,,,,,,,203,3.096741454,-1.096741454,-0.796799939,,85.80508475,4.3,,
Male,No,Sat,Dinner,3, $29.03 ,5.92,1,0,0,1,0,1,3.006361952,8.49,,,,,,,,,,,,204,3.096741454,2.063258546,1.49898983,,86.22881356,4.3,,
Female,Yes,Sat,Dinner,2, $27.18 ,2.00,0,1,0,1,0,1,2.919976137,0.85,,,,,,,,,,,,205,3.006361952,5.993638048,4.35447244,,86.65254237,4.34,,
Male,Yes,Sat,Dinner,2, $22.67 ,2.00,1,1,0,1,0,1,3.096741454,1.20,,,,,,,,,,,,206,2.919976136,-0.419976136,-0.305119278,,87.07627119,4.5,,
Male,No,Sat,Dinner,2, $17.82 ,1.75,1,0,0,1,0,1,3.006361952,1.58,,,,,,,,,,,,207,2.919976136,3.580023864,2.600943721,,87.5,4.67,,
Female,No,Thur,Dinner,2, $18.78 ,3.00,0,0,0,0,0,1,3.166942742,0.03,,,,,,,,,,,,208,2.919976136,-1.819976136,-1.322241327,,87.92372881,4.73,,
,,,,,,,,,,,,,MSE,1.89,,,,,,,,,,,,209,3.096741454,-0.096741454,-0.07028419,,88.34745763,5,,
,,,,,,,,,,,,,RSME,15.42724862,,,,,,,,,,,,210,3.096741454,-1.596741454,-1.160057814,,88.77118644,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,211,3.096741454,-1.656741454,-1.203648759,,89.19491525,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,212,2.919976136,0.170023864,0.123525015,,89.61864407,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,213,2.520626216,-0.320626216,-0.232939996,,90.04237288,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,214,2.343860899,1.136139101,0.825422951,,90.46610169,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,215,2.520626216,-0.600626216,-0.436364406,,90.88983051,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,216,2.253481397,0.746518603,0.542357523,,91.31355932,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,217,2.520626216,-0.940626216,-0.683379761,,91.73728814,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,218,2.343860899,0.156139101,0.113437516,,92.16101695,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,219,2.343860899,-0.343860899,-0.249820359,,92.58474576,5.07,,
,,,,,,,,,,,,,,,,,,,,,,,,,,220,3.006361952,-0.006361952,-0.004622058,,93.00847458,5.14,,
,,,,,,,,,,,,,,,,,,,,,,,,,,221,3.006361952,-0.286361952,-0.208046468,,93.43220339,5.15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,222,2.919976136,-0.039976136,-0.029043293,,93.8559322,5.16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,223,3.096741454,-1.096741454,-0.796799939,,94.27966102,5.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,224,3.096741454,-0.096741454,-0.07028419,,94.70338983,5.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,225,3.006361952,0.383638048,0.278719084,,95.12711864,5.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,226,3.006361952,-1.536361952,-1.116191155,,95.55084746,5.65,,
,,,,,,,,,,,,,,,,,,,,,,,,,,227,3.096741454,-0.096741454,-0.07028419,,95.97457627,5.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,228,3.006361952,-1.756361952,-1.27602462,,96.39830508,5.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,229,3.096741454,-2.096741454,-1.523315689,,96.8220339,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,230,3.096741454,-1.926741454,-1.399808012,,97.24576271,6.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,231,2.829596634,1.840403366,1.337082031,,97.66949153,6.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,232,3.006361952,2.913638048,2.116803931,,98.09322034,6.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,233,2.919976136,-0.919976136,-0.668377152,,98.51694915,6.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,234,3.096741454,-1.096741454,-0.796799939,,98.94067797,7.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,235,3.006361952,-1.256361952,-0.912766745,,99.36440678,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,236,3.166942742,-0.166942742,-0.121286531,,99.78813559,10,,
